"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_SMA";1;"SS34";;;
2;"U1";"XIAO-ESP32C6-SMD";1;"XIAO-ESP32-S3-SMD";;;
3;"R10,R9,R8,R6,R7,R3";"R_0805_2012Metric";6;"10K";;;
4;"J2,J5,J4,J3";"Pin_D1.3mm_L11.3mm_W2.8mm_Flat";4;"Conn_01x01_Pin";;;
5;"R1";"R_0805_2012Metric";1;"100K";;;
6;"C6";"C_0805_2012Metric";1;"220pF";;;
7;"C1,C4";"C_0805_2012Metric";2;"100nF";;;
8;"C5,C3,C8";"C_1206_3216Metric";3;"100nF";;;
9;"L1";"L_APV_APH0530";1;"10µH";;;
10;"Q1,Q2";"SOT-23";2;"BSS138";;;
11;"R5";"R_0805_2012Metric";1;"52.3K";;;
12;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"MP1584EN-LF-Z";;;
13;"C2";"C_1206_3216Metric";1;"10µF-25V";;;
14;"R4";"R_0805_2012Metric";1;"200K";;;
15;"C7";"C_1206_3216Metric";1;"22µF-10V";;;
16;"R2";"R_0805_2012Metric";1;"24.9K";;;
17;"J1";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"Conn_01x04_Socket";;;
18;"U2";"VSSOP-8_2.3x2mm_P0.5mm";1;"TXB0102DCU";;;
